1;L_001;Telewizor kolorowy 1;Telewizory;S_A#R_3#P_5
2;L_002;Telewizor kolorowy 2;Telewizory;S_A#R_3#P_6
3;L_003;Telewizor kolorowy 3;Telewizory;S_A#R_3#P_7
4;L_004;Telewizor kolorowy 4;Telewizory;S_A#R_3#P_8
5;L_005;Telewizor kolorowy 5;Telewizory;S_A#R_3#P_9
6;L_006;Telewizor kolorowy 6;Telewizory;S_A#R_3#P_10
7;L_007;Telewizor kolorowy 7;Telewizory;S_A#R_3#P_11
8;L_008;Telewizor kolorowy 8;Telewizory;S_A#R_3#P_12
9;L_009;Telewizor kolorowy 9;Telewizory;S_A#R_3#P_13
10;L_010;Telewizor kolorowy 10;Telewizory;S_A#R_3#P_14
11;L_011;Telewizor kolorowy 11;Telewizory;S_A#R_3#P_15
12;L_012;Telewizor kolorowy 12;Telewizory;S_A#R_3#P_16
13;L_013;Telewizor kolorowy 13;Telewizory;S_A#R_3#P_17
14;L_014;Telewizor kolorowy 14;Telewizory;S_A#R_3#P_18
15;L_015;Telewizor kolorowy 15;Telewizory;S_A#R_3#P_19
16;L_016;Telewizor kolorowy 16;Telewizory;S_A#R_3#P_20
17;L_017;Telewizor kolorowy 17;Telewizory;S_A#R_3#P_21
18;L_018;Telewizor kolorowy 18;Telewizory;S_A#R_3#P_22
19;L_019;Telewizor kolorowy 19;Telewizory;S_A#R_3#P_23
20;L_020;Telewizor kolorowy 20;Telewizory;S_A#R_3#P_24
21;L_021;Telewizor kolorowy 21;Telewizory;S_A#R_3#P_25
22;L_022;Telewizor kolorowy 22;Telewizory;S_A#R_3#P_26
23;L_023;Telewizor kolorowy 23;Telewizory;S_A#R_3#P_27
24;L_024;Telewizor kolorowy 24;Telewizory;S_A#R_3#P_28
25;L_025;Telewizor kolorowy 25;Telewizory;S_A#R_3#P_29
26;L_026;Telewizor kolorowy 26;Telewizory;S_A#R_3#P_30
27;L_027;Telewizor kolorowy 27;Telewizory;S_A#R_3#P_31
28;L_028;Telewizor kolorowy 28;Telewizory;S_A#R_3#P_32
29;L_029;Telewizor kolorowy 29;Telewizory;S_A#R_3#P_33
30;L_030;Telewizor kolorowy 30;Telewizory;S_A#R_3#P_34
31;L_031;Telewizor kolorowy 31;Telewizory;S_A#R_3#P_35
32;L_032;Telewizor kolorowy 32;Telewizory;S_A#R_3#P_36
33;L_033;Telewizor kolorowy 33;Telewizory;S_A#R_3#P_37
34;L_034;Telewizor kolorowy 34;Telewizory;S_A#R_3#P_38
35;L_035;Telewizor kolorowy 35;Telewizory;S_A#R_3#P_39
36;L_036;Telewizor kolorowy 36;Telewizory;S_A#R_3#P_40
37;L_037;Telewizor kolorowy 37;Telewizory;S_A#R_3#P_41
38;L_038;Telewizor kolorowy 38;Telewizory;S_A#R_3#P_42
39;L_039;Telewizor kolorowy 39;Telewizory;S_A#R_3#P_43
40;L_040;Telewizor kolorowy 40;Telewizory;S_A#R_3#P_44
41;L_041;Telewizor kolorowy 41;Telewizory;S_A#R_3#P_45
42;L_042;Telewizor kolorowy 42;Telewizory;S_A#R_3#P_46
43;L_043;Telewizor kolorowy 43;Telewizory;S_A#R_3#P_47
44;L_044;Telewizor kolorowy 44;Telewizory;S_A#R_3#P_48
